link,Nome,Endereco
https://www.smartfit.com.br/academias/fraga-maia,Fraga Maia,"Av. Francisco Fraga Maia, 4727 - Cidade Nova"
https://www.smartfit.com.br/academias/mauricio-galli,Maurício Galli,"Rua Mauricio Galli, 555 - Vila Sedenho"
https://www.smartfit.com.br/academias/av-trinta-e-seis,Av. Trinta e Seis,"Avenida Padre Francisco Salles Culturato, 924 - Centro"
https://www.smartfit.com.br/academias/aracatuba,Araçatuba,"Av. Joaquim Pompeu de Toledo, 601 - Vila Estádio"
https://www.smartfit.com.br/academias/liberdade,Liberdade,"Avenida da Liberdade, 902 - Liberdade"
https://www.smartfit.com.br/academias/bela-vista,Bela Vista,"Rua Pedroso, 407 - Bela Vista"
https://www.smartfit.com.br/academias/shopping-light,Shopping Light,"R. Coronel Xavier de Toledo, nº 23 - República"
https://www.smartfit.com.br/academias/anhangabau,Anhangabaú,"Largo do Anhangabaú, 350 - Centro"
https://www.smartfit.com.br/academias/av-ipiranga,Av. Ipiranga,"Avenida Ipiranga, 974 - República"
https://www.smartfit.com.br/academias/paulista,Paulista,"Avenida Paulista, 664 - Bela Vista"
https://www.smartfit.com.br/academias/baixo-augusta,Baixo Augusta,"Rua Augusta, 1053 - Consolação"
https://www.smartfit.com.br/academias/mario-covas,Mario Covas,"Rodovia Mário Covas, nº 575 - Coqueiro"
https://www.smartfit.com.br/academias/shopping-castanheira,Shopping Castanheira,Rodovia BR-316 - Castanheira
https://www.smartfit.com.br/academias/maguari,Maguari,"Rodovia Augusto Montenegro, KM 09 - Parque Guajará (Icoaraci)"
https://www.smartfit.com.br/academias/humaita,Humaitá,"Travessa Humaitá, 1343 - Pedreira"
https://www.smartfit.com.br/academias/boulevard,Boulevard,"Av. Visc. De Souza Franco, 776 - Reduto"
https://www.smartfit.com.br/academias/patio-belem,Pátio Belém,"Tv. Padre Eutiquio, 1078 - Batista Campos"
https://www.smartfit.com.br/academias/shopping-piratas,Shopping Piratas,"Estrada do Marinas, 91 - Praia do Jardim"
https://www.smartfit.com.br/academias/presidente-prudente,Presidente Prudente,"Rua Siqueira Campos, 1545 - Vila Roberto"
https://www.smartfit.com.br/academias/frei-aureliano,Frei Aureliano,"Rua Frei Aureliano Grottamari, 679 - Capuchinhos"
https://www.smartfit.com.br/academias/fraga-maia,Fraga Maia,"Av. Francisco Fraga Maia, 4727 - Cidade Nova"
https://www.smartfit.com.br/academias/anapolis,Anápolis,"Avenida Brasil Norte, 1080 - Cidade Jardim"
https://www.smartfit.com.br/academias/anapolis,Anápolis,"Avenida Brasil Norte, 1080 - Cidade Jardim"
https://www.smartfit.com.br/academias/jabotiana,Jabotiana,"Rua Major João Teles , s/n - Jabotiana"
https://www.smartfit.com.br/academias/jardins,Jardins,"Av. Deputado Pedro Valadares, 890  - Jardins Aracaju"
https://www.smartfit.com.br/academias/riomar-shopping,Riomar Shopping,"Avenida Delmiro Gouveia 400, LOJA 174 - Coroa do Meio"
https://www.smartfit.com.br/academias/farolandia,Farolândia,"Avenida Capitão Joaquim Martins Fontes, 250 - Farolândia"
https://www.smartfit.com.br/academias/aracatuba,Araçatuba,"Av. Joaquim Pompeu de Toledo, 601 - Vila Estádio"
https://www.smartfit.com.br/academias/parnaiba,Parnaíba ,"Avenida São Sebastião, 2915 - Piauí"
https://www.smartfit.com.br/academias/avare,Avaré,"Av. Pref. Paulo Novais, 5 - Centro"
https://www.smartfit.com.br/academias/aurora-shopping,Aurora Shopping,"Av. Ayrton Senna da Silva, 400 - Gleba Fazenda Palhano"
https://www.smartfit.com.br/academias/bucarein,Bucarein,"Rua São Paulo, 910 - Bucarein"
https://www.smartfit.com.br/academias/saguacu,Saguaçu,"Rua João Pessoa, 276 - Saguaçu"
https://www.smartfit.com.br/academias/aventureiro,Aventureiro,"Rua Tuiuti, 2295 - Aventureiro"
https://www.smartfit.com.br/academias/av-trinta-e-seis,Av. Trinta e Seis,"Avenida Padre Francisco Salles Culturato, 924 - Centro"
https://www.smartfit.com.br/academias/mauricio-galli,Maurício Galli,"Rua Mauricio Galli, 555 - Vila Sedenho"
https://www.smartfit.com.br/academias/araras,Araras,"Av. Dona Renata, 2954 - Vila Michelin"
https://www.smartfit.com.br/academias/rio-claro,Rio Claro,"Rua 14, 289 - Estádio"
https://www.smartfit.com.br/academias/limeira,Limeira,"Avenida Campinas, 50 - Vila Cidade Jardim"
https://www.smartfit.com.br/academias/aracatuba,Araçatuba,"Av. Joaquim Pompeu de Toledo, 601 - Vila Estádio"
https://www.smartfit.com.br/academias/resende-shopping,Resende Shopping,"Avenida Saturnino Braga, 369 - Centro"
https://www.smartfit.com.br/academias/buzios,Búzios,"Avenida José Bento Ribeiro Dantas, 73 - Centro (Mangue)"
https://www.smartfit.com.br/academias/rio-das-ostras,Rio das Ostras,"Rodovia Amaral Peixoto, 3690 - Bosque da Praia"
https://www.smartfit.com.br/academias/buzios,Búzios,"Avenida José Bento Ribeiro Dantas, 73 - Centro (Mangue)"
https://www.smartfit.com.br/academias/paulinia,Paulínia,"Rua Bolívia, 60 - Jardim América"
https://www.smartfit.com.br/academias/limeira,Limeira,"Avenida Campinas, 50 - Vila Cidade Jardim"
https://www.smartfit.com.br/academias/americana,Americana,"Avenida Brasil, 1955 - Jardim São Paulo"
https://www.smartfit.com.br/academias/santa-barbara-doeste,Santa Bárbara D’Oeste,"Rua do Osmio, 975 - Vila Mollon IV"
https://www.smartfit.com.br/academias/barao-geraldo,Barão Geraldo,"Avenida Santa Isabel, 1030 - Vila Santa Isabel"
https://www.smartfit.com.br/academias/sumare,Sumaré,"Praça da República, 148 - Centro"
https://www.smartfit.com.br/academias/chapeco,Chapecó,"Avenida Fernando Machado, 4000 - Líder"
https://www.smartfit.com.br/academias/patio-maceio,Pátio Maceió,"Avenida Menino Marcelo, 3800 - Cidade Universitária"
https://www.smartfit.com.br/academias/atibaia,Atibaia,"Avenida Joviano Alvim, 300 - Alvinópolis"
https://www.smartfit.com.br/academias/braganca-paulista,Bragança Paulista,"Rua Alpheu Grimello, 650 - Jardim São José"
https://www.smartfit.com.br/academias/franco-da-rocha,Franco da Rocha,"Avenida dos Expedicionários, nº 77 - Loja 302 - Companhia Fazenda Belém"
https://www.smartfit.com.br/academias/avare,Avaré,"Av. Pref. Paulo Novais, 5 - Centro"
https://www.smartfit.com.br/academias/bucarein,Bucarein,"Rua São Paulo, 910 - Bucarein"
https://www.smartfit.com.br/academias/balneario-camboriu,Balneário Camboriú,3ª Avenida (esquina com a R. 3.122) - Centro
https://www.smartfit.com.br/academias/itajai,Itajaí,"Travessa Edmundo Heusi, 49 - Centro"
https://www.smartfit.com.br/academias/criciuma,Criciúma,"Avenida Centenário, 2699 - Centro"
https://www.smartfit.com.br/academias/barra-mansa,Barra Mansa,"Avenida Joaquim Leite, 640 - Centro"
https://www.smartfit.com.br/academias/resende-shopping,Resende Shopping,"Avenida Saturnino Braga, 369 - Centro"
https://www.smartfit.com.br/academias/juazeiro-do-norte,Juazeiro do Norte,"Av. Padre Cícero, 2241 - Triângulo"
https://www.smartfit.com.br/academias/palato,Palato,"Avenida Fernandes Lima, 548 - Farol"
https://www.smartfit.com.br/academias/maceio-shopping,Maceió Shopping,"Av. Comendador Gustavo Paiva, 2990 - Mangabeiras"
https://www.smartfit.com.br/academias/ponta-verde,Ponta Verde,"Rua Professor Sandoval Arroxelas, nº360 - Ponta Verde"
https://www.smartfit.com.br/academias/vitoria-da-conquista,Vitória da Conquista,"Avenida Olívia Flores, 1265 - Candeias"
https://www.smartfit.com.br/academias/volta-redonda,Volta Redonda,"Av. Amaral Peixoto, 555 - Centro"
https://www.smartfit.com.br/academias/otto-niemeyer,Otto Niemeyer,"Avenida Otto Niemeyer, nº2500 - Loja 116 - Camaquã"
https://www.smartfit.com.br/academias/avenida-wenceslau-escobar,Avenida Wenceslau Escobar,"Avenida Wenceslau Escobar, 1040 - Cristal"
https://www.smartfit.com.br/academias/menino-deus,Menino Deus,"Avenida Getúlio Vargas, 1644 - Menino Deus"
https://www.smartfit.com.br/academias/jardins,Jardins,"Av. Deputado Pedro Valadares, 890  - Jardins Aracaju"
https://www.smartfit.com.br/academias/riomar-shopping,Riomar Shopping,"Avenida Delmiro Gouveia 400, LOJA 174 - Coroa do Meio"
https://www.smartfit.com.br/academias/farolandia,Farolândia,"Avenida Capitão Joaquim Martins Fontes, 250 - Farolândia"
https://www.smartfit.com.br/academias/jabotiana,Jabotiana,"Rua Major João Teles , s/n - Jabotiana"
https://www.smartfit.com.br/academias/itabuna,Itabuna,"Avenida Aziz Maron, s/n - Jardim Vitória"
https://www.smartfit.com.br/academias/maua,Mauá,"Av. Governador Mário Covas Júnior, 287 - Centro"
https://www.smartfit.com.br/academias/barao-de-maua,Barão de Mauá,"Avenida Barão de Mauá, 3748 - Jardim Maringá"
https://www.smartfit.com.br/academias/pirelli,Pirelli,"Av. Pedro Américo, 23 - Casa Branca"
https://www.smartfit.com.br/academias/parque-oratorio,Parque Oratório,"Rua Jorge Beretta, 1007 - Parque Erasmo Assunção"
https://www.smartfit.com.br/academias/parque-das-nacoes,Parque das Nações,"Rua Oratório, 1765 - Parque das Nações"
https://www.smartfit.com.br/academias/metro-sapopemba,Metrô Sapopemba,"Avenida Sapopemba, 11.128 - Jardim Planalto"
https://www.smartfit.com.br/academias/jardim,Jardim,"Rua Catequese, 385 - Vila Guiomar"
https://www.smartfit.com.br/academias/parque-boa-esperanca,Parque Boa Esperança,"Avenida Ragueb Chohfi, N 3248 - Parque Boa Esperança"
