,Unnamed: 0,name,address,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,5,4,latitude,longitude
24,24,SmartFit Ana Costa II,"""Av. Ana Costa, 272 - Gonzaga""",82.0,58,82,69,79,83,77,53,54,59,56,75,86.0,75.0,59.0,42.0,10.0,1.0,,,-23.9557766,-46.3317101
25,25,SmartFit An√°lia Franco,"""Rua Antônio Alves Barril, 323 - Jardim Anália Franco""",54.0,50,49,42,56,57,51,35,33,37,42,50,62.0,54.0,41.0,31.0,6.0,1.0,,,-23.5593568,-46.5615312
26,26,SmartFit An√°polis,"""Avenida Brasil Norte, 1080 - Cidade Jardim""",41.0,37,44,44,49,46,34,24,26,30,37,46,50.0,45.0,36.0,23.0,4.0,1.0,32.0,,-16.3195702,-48.9458697
27,27,SmartFit Anchieta,"""Avenida Francisco Deslandes, 900 - Anchieta""",54.0,46,56,53,67,59,48,30,34,39,42,48,54.0,46.0,34.0,23.0,6.0,1.0,,,-19.9516996,-43.927955
29,29,SmartFit Anita Mall,"""Rua Anita Garibaldi, 600 - Mont Serrat""",59.0,45,54,63,70,64,55,31,34,47,50,50,60.0,54.0,36.0,26.0,6.0,1.0,,,-30.0266083,-51.1896284
30,30,SmartFit Antônio Bento,"""Rua Dr. Antonio Bento, n 587 - Santo Amaro""",53.0,44,43,34,45,46,46,32,30,38,44,45,55.0,38.0,33.0,24.0,7.0,1.0,,,-23.6455168,-46.7027543
31,31,SmartFit Aquarius,"""Av. Comendador Vicente de Paulo Penido, 251 - Parque Res. Aquarius""",66.0,86,86,84,87,79,64,50,49,62,60,81,90.0,74.0,60.0,39.0,8.0,0.0,29.0,,-23.2149444,-45.9021492
32,32,SmartFit Araçatuba,"""Av. Joaquim Pompeu de Toledo, 601 - Vila Est√°dio""",68.0,69,56,59,70,70,64,48,51,61,61,69,81.0,76.0,54.0,37.0,8.0,1.0,,,-21.2220969,-50.4354996
33,33,SmartFit Araras,"""Av. Dona Renata, 2954 - Vila Michelin""",56.0,46,50,50,51,50,40,31,37,43,44,57,62.0,44.0,37.0,22.0,4.0,1.0,,,-22.3593091,-47.3928742
34,34,SmartFit Aricanduva,"""Avenida Aricanduva, 5555 - Jd. Santa Terezinha""",83.0,69,74,73,76,83,82,58,57,59,56,63,95.0,92.0,78.0,57.0,10.0,0.0,,,-23.5617447,-46.5036281
35,35,SmartFit Arniqueiras,"""SHA Conjunto 4 Chácara 71-A, Lote 71-B - Setor Habitacional Arniqueira (Águas Claras)""",0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,-15.8471286,-48.0092356
36,36,SmartFit Asa Norte I,"""SHCN EQ 406/407 bloco A  - Asa Norte""",121.0,104,126,114,128,129,138,72,77,82,98,105,120.0,98.0,70.0,55.0,13.0,1.0,,,-15.7638993,-47.8877531
37,37,SmartFit Asa Norte II,"""SHCGN CR 712/713, Bloco D, loja 24 - Asa Norte""",54.0,54,47,52,57,60,50,39,33,40,47,46,52.0,46.0,39.0,29.0,10.0,0.0,,,-15.7613108,-47.8933863
38,38,SmartFit Asa Norte IV,"""CLN, 305 Bloco A - Asa Norte""",71.0,77,85,87,85,85,72,45,47,60,56,63,77.0,65.0,42.0,29.0,6.0,0.0,,,-15.7742675,-47.8855045
39,39,SmartFit Asa Sul I,"""EQS 414/415 - Asa Sul""",82.0,61,68,71,79,75,69,51,44,52,61,62,74.0,54.0,40.0,27.0,7.0,0.0,,,-15.835527,-47.9164101
40,40,SmartFit Asa Sul II,"""Q 511 Sul - Asa Sul""",60.0,49,56,58,62,59,50,35,32,41,41,46,54.0,42.0,36.0,24.0,7.0,1.0,,,-15.8114166,-47.8945011
41,41,SmartFit Asa Sul III,"""QD. 702 SHCS Conjunto A - Asa Sul""",71.0,79,69,69,78,94,78,44,46,53,57,79,78.0,58.0,44.0,31.0,8.0,1.0,,,-15.8202434,-47.9045093
42,42,SmartFit Assaí Anchieta,"""R. García Lorca, 301 - Pauliceia""",47.0,31,36,37,36,35,34,23,27,29,31,39,41.0,43.0,39.0,24.0,4.0,1.0,,,-23.5894498,-46.7338207
43,43,SmartFit Atibaia,"""Avenida Joviano Alvim, 300 - Alvinópolis""",39.0,34,34,31,36,26,25,25,21,27,26,33,38.0,28.0,27.0,18.0,5.0,1.0,,,-23.1176043,-46.5604683
44,44,SmartFit Atl√¢ntica,"""Av. In√°cio Cunha Leme, 20 - Jardim Ipanema""",66.0,67,70,64,74,67,68,46,43,49,59,61,70.0,67.0,60.0,40.0,10.0,0.0,,,-23.6905357,-46.7131785
45,45,SmartFit Augusta,"""Rua Augusta, 1585 - Consolação""",52.0,39,31,31,37,39,47,31,30,35,37,58,61.0,44.0,39.0,23.0,6.0,1.0,,,-23.5574148,-46.6590596
46,46,SmartFit Aurora Shopping,"""Av. Ayrton Senna da Silva, 400 - Gleba Fazenda Palhano""",85.0,71,74,71,76,73,68,50,53,64,62,77,101.0,81.0,49.0,35.0,7.0,1.0,,,-23.3290717,-51.1778634
47,47,SmartFit Av. 31 de Março,"""Avenida Trinta e Um de Março, 1533 - Paulicéia""",27.0,29,39,32,39,38,31,24,21,24,31,47,42.0,42.0,33.0,26.0,4.0,1.0,40.0,,-23.6650747,-46.5863158
48,48,SmartFit Av. Br√°s de Pina ,"""Avenida Brás de Pina, nº 201 - Penha""",72.0,57,74,62,66,68,56,44,50,59,52,65,75.0,70.0,52.0,12.0,1.0,,,,-22.8418125,-43.2814931
49,49,SmartFit Av. das Cerejeiras,"""Avenida das Cerejeiras, 1156 - Vila Maria""",46.0,40,39,37,44,41,36,32,29,33,36,38,58.0,50.0,39.0,29.0,6.0,1.0,,,-23.5070582,-46.577625
50,50,SmartFit Av. Fernando Costa,"""Av. Fernando Costa x Av. Maria Osório Valle - Alto Ipiranga""",51.0,37,44,34,36,35,34,29,31,31,31,43,51.0,42.0,28.0,22.0,4.0,1.0,,,-23.5352152,-46.2019258
51,51,SmartFit Av. Get√∫lio Vargas I,"""Av. Getúlio Vargas, 25-16 - Vila Aviação""",31.0,37,38,35,41,43,32,22,22,32,40,54,54.0,41.0,30.0,16.0,5.0,1.0,34.0,,-22.3558797,-49.0482194
52,52,SmartFit Av. Get√∫lio Vargas II,"""Av. Getulio Vargas, 8-15 - Jardim Aeroporto""",48.0,35,44,43,46,45,41,26,29,32,36,47,57.0,45.0,40.0,24.0,3.0,1.0,,,-22.3406811,-49.0616804
53,53,SmartFit Av. Guarulhos,"""Av. Guarulhos, 2753 - Ponte Grande""",61.0,35,47,44,46,47,41,31,28,34,37,40,49.0,52.0,42.0,30.0,3.0,1.0,,,-23.4916373,-46.5452965
54,54,SmartFit Av. Ipiranga,"""Avenida Ipiranga, 974 - Rep√∫blica""",47.0,42,38,36,40,38,47,30,29,32,38,59,59.0,35.0,33.0,20.0,5.0,1.0,,,-23.5416472,-46.6391506
55,55,SmartFit Av. Itaberaba I,"""Avenida Itaberaba, 2080 - Itaberaba""",61.0,56,66,57,55,58,55,48,43,42,40,55,65.0,62.0,51.0,32.0,6.0,1.0,,,-23.4846923,-46.6911536
56,56,SmartFit Av. Itaberaba II,"""Av. Itaberaba, nº 1735 - Nossa Senhora do Ó""",55.0,45,49,44,48,48,56,36,40,44,44,42,57.0,55.0,43.0,31.0,5.0,0.0,,,-23.4873878,-46.6929887
57,57,SmartFit Av. Jardim Jap√£o ,"""Avenida Jardim Jap√£o,1458 - Jardim Brasil""",67.0,63,60,57,59,54,58,49,46,52,43,52,67.0,63.0,59.0,41.0,7.0,1.0,,,-23.4781578,-46.583269
58,58,SmartFit Av. Maracan√£ I,"""Rua José Higino - Tijuca""",67.0,68,70,71,81,76,73,49,45,56,55,67,73.0,67.0,52.0,30.0,6.0,1.0,,,-22.929586,-43.2381808
59,59,SmartFit Av. Maracan√£ II,"""Av. Maracan√£, 592 - Maracan√£""",71.0,48,64,60,66,61,60,43,36,45,48,50,57.0,55.0,42.0,32.0,8.0,0.0,,,-22.9147913,-43.2284599
60,60,SmartFit Av. Morumbi,"""Avenida Morumbi, 6340 - Morumbi""",62.0,44,48,43,47,49,48,33,34,34,35,40,45.0,46.0,34.0,24.0,4.0,0.0,,,-23.6175192,-46.7083839
61,61,SmartFit Av. Prestes Maia,"""Avenida Francisco Prestes Maia, 361 - Nova Petrópolis""",68.0,52,60,56,58,50,52,41,36,40,40,54,63.0,51.0,41.0,27.0,6.0,0.0,,,-23.7069378,-46.5473716
62,62,SmartFit Av. Prof. Francisco Morato,"""Av. Professor Francisco Morato, 2203 - Butant√£""",58.0,38,42,44,46,48,45,32,25,32,34,41,59.0,46.0,36.0,28.0,7.0,1.0,,,-23.5854901,-46.72004339999999
63,63,SmartFit Av. Roberto Freire,"""Avenida Engenheiro Roberto Freire, 2020 - Capim Macio""",48.0,62,68,64,72,72,65,49,49,60,60,73,68.0,68.0,55.0,44.0,13.0,4.0,46.0,,-5.8577262,-35.197116
64,64,SmartFit Av. Santa Catarina I,"""Av. Santa Catarina, 935  - Vila Mascote""",49.0,42,45,45,53,53,56,36,33,37,36,38,52.0,49.0,42.0,27.0,8.0,1.0,,,-23.643858,-46.6650048
65,65,SmartFit Av. Santa Catarina II,"""Av. Santa Catarina, 2566 - Vila Mascote""",64.0,63,63,56,60,57,57,45,44,43,45,53,56.0,66.0,51.0,32.0,7.0,1.0,,,-23.656144,-46.6556736
66,66,SmartFit Av. Trinta e Seis,"""Avenida Padre Francisco Salles Culturato, 924 - Centro""",46.0,44,49,48,56,54,43,35,37,44,45,58,69.0,56.0,42.0,25.0,6.0,1.0,,,-21.781122,-48.1880326
67,67,SmartFit Av. Vereador Narciso,"""Av. Vereador Narciso Yague Guimarães, nº 1000 - Centro Civico""",48.0,44,52,46,49,61,45,35,38,44,54,61,66.0,52.0,41.0,32.0,8.0,0.0,,,-23.5179252,-46.1799468
68,68,SmartFit Avaré,"""Av. Pref. Paulo Novais, 5 - Centro""",52.0,38,43,37,44,45,29,25,26,29,41,53,59.0,45.0,34.0,22.0,5.0,0.0,,,-23.09541,-48.9400427
69,69,SmartFit Avenida Amador Bueno,"""Avenida Amador Bueno da Veiga, 1066 - Penha""",70.0,59,62,70,73,71,74,54,47,55,52,62,76.0,77.0,59.0,49.0,12.0,1.0,,,-23.5237948,-46.5344477
70,70,SmartFit Avenida Angélica,"""Avenida Angélica, 2424 - Consolação""",68.0,56,54,52,61,66,62,48,38,45,47,69,75.0,54.0,41.0,28.0,7.0,1.0,,,-23.5531634,-46.6620033
71,71,SmartFit Avenida Castelo Branco,"""Avenida Humberto de Alencar Castelo Branco, 3120 - Jardim do Imperador""",66.0,44,64,52,54,51,52,44,46,47,45,58,69.0,58.0,48.0,34.0,7.0,1.0,,,-23.7167923,-46.5844874
72,72,SmartFit Avenida Celso Garcia,"""Av. Celso Garcia, 4886 - Tatuapé""",75.0,54,72,61,67,79,70,54,45,51,58,76,74.0,62.0,53.0,42.0,11.0,0.0,,,-23.5337758,-46.56543
73,73,SmartFit Avenida dos Mananciais,"""Avenida dos Mananciais, 721 - Taquara""",65.0,58,72,73,73,67,55,48,42,55,51,56,67.0,59.0,46.0,37.0,9.0,1.0,,,-22.9172306,-43.384987
74,74,SmartFit Avenida JK,"""Av. Presidente Juscelino Kubitschek de Oliveira, 400 - Jardim Maracan√£""",83.0,71,72,73,86,87,67,51,46,62,66,84,97.0,72.0,60.0,44.0,10.0,1.0,,,-23.0858796,-52.4709411
75,75,SmartFit Avenida Jorge Amado,"""Avenida Jorge Amado, 1834 - Imbuí""",55.0,69,78,67,77,69,57,42,51,61,61,70,68.0,62.0,50.0,31.0,2.0,,56.0,,-12.9689388,-38.423238
76,76,SmartFit Avenida Mascote,"""Av. Mascote, 159 - Vila Mascote""",85.0,68,78,65,71,76,70,56,49,55,51,59,72.0,70.0,61.0,37.0,10.0,1.0,,,-23.648476,-46.6637419
77,77,SmartFit Avenida Presidente Wilson,"""Avenida Presidente Wilson, 1333 - Itararé""",79.0,73,83,79,82,82,75,58,55,60,55,69,85.0,78.0,62.0,43.0,10.0,0.0,,,-24.1099321,-49.3306862
78,78,SmartFit Avenida Prudente de Morais,"""Avenida Prudente de Morais, 513 - Santo Antônio""",61.0,50,48,47,56,57,51,26,29,35,42,54,57.0,50.0,37.0,25.0,5.0,0.0,,,-23.27743,-47.29020999999999
79,79,SmartFit Avenida Rio Branco,"""Avenida Bar√£o do Rio Branco,1658 - Centro""",92.0,63,72,75,87,89,82,61,65,68,72,93,109.0,76.0,49.0,11.0,1.0,,,,-22.4905363,-43.1771448
80,80,SmartFit Avenida Sete de Setembro,"""Avenida Sete de Setembro,6517 - Batel""",48.0,35,34,38,39,39,40,26,27,30,29,40,45.0,39.0,27.0,18.0,3.0,0.0,,,-25.4507071,-49.3002208
81,81,SmartFit Avenida Tabo√£o,"""Rua Eugênia Sá Vitale, 111 - Taboão""",58.0,51,56,45,51,54,54,45,41,46,40,50,67.0,56.0,51.0,36.0,6.0,1.0,,,-23.6237092,-46.7795774
82,82,SmartFit Avenida Wenceslau Escobar,"""Avenida Wenceslau Escobar, 1040 - Cristal""",55.0,43,55,52,63,59,47,38,37,46,48,50,60.0,54.0,39.0,25.0,5.0,1.0,,,-30.09949779999999,-51.2479242
83,83,SmartFit Aventureiro,"""Rua Tuiuti, 2295 - Aventureiro""",61.0,39,52,44,40,42,34,33,33,33,34,44,61.0,62.0,52.0,33.0,6.0,0.0,,,-26.2524611,-48.8197302
84,84,SmartFit Bacacheri,"""Avenida Monteiro Tourinho, 54 - Bacacheri""",70.0,50,68,66,70,71,58,47,46,54,56,62,77.0,69.0,58.0,45.0,7.0,0.0,,,-25.3905361,-49.2232711
85,85,SmartFit Baixo Augusta,"""Rua Augusta, 1053 - Consolação""",45.0,39,49,46,51,59,60,42,36,37,39,48,59.0,50.0,44.0,34.0,12.0,0.0,,,-23.5538468,-46.6555356
86,86,SmartFit Balne√°rio Cambori√∫,"""3ª Avenida (esquina com a R. 3.122) - Centro""",38.0,35,46,49,53,51,46,36,39,45,45,47,55.0,52.0,40.0,33.0,5.0,0.0,,,-33.5115049,-70.73045429999999
87,87,SmartFit Bambina,"""Rua Bambina, 146 - Botafogo""",87.0,65,79,80,83,89,81,57,56,63,67,65,77.0,64.0,58.0,39.0,12.0,0.0,,,-22.9479808,-43.1862747
88,88,SmartFit Bangu Shopping,"""Rua Fonseca, 240 - Bangu""",59.0,67,106,88,89,85,76,66,63,74,68,81,90.0,84.0,64.0,48.0,10.0,1.0,,,-22.8779402,-43.4671382
89,89,SmartFit Bar√£o da Torre,"""R. Bar√£o da Torre, 398  - Ipanema""",111.0,96,113,110,108,106,107,78,61,68,69,80,88.0,75.0,57.0,38.0,10.0,1.0,,,-22.984667,-43.1985932
90,90,SmartFit Bar√£o de Mau√°,"""Avenida Bar√£o de Mau√°, 3748 - Jardim Maring√°""",42.0,34,37,35,39,34,38,30,28,30,31,35,54.0,44.0,33.0,23.0,3.0,0.0,,,-23.6648846,-46.4322729
91,91,SmartFit Bar√£o Geraldo,"""Avenida Santa Isabel, 1030 - Vila Santa Isabel""",41.0,49,52,58,67,63,61,50,39,50,52,51,59.0,60.0,49.0,42.0,24.0,1.0,,,-23.557471,-46.5383418
92,92,SmartFit Barata Ribeiro,"""Rua Barata Ribeiro, 502, Loja A - Copacabana""",35.0,30,38,34,40,40,38,31,25,29,30,29,34.0,29.0,26.0,21.0,7.0,0.0,,,-22.9699126,-43.1880145
93,93,SmartFit Barbosa de Freitas,"""Av. Santos Dumont, 3060 (loja 12 a 20) - Aldeota""",55.0,39,33,31,33,38,50,24,23,30,34,53,61.0,40.0,24.0,13.0,3.0,1.0,,,-3.7370476,-38.4977215
94,94,SmartFit Barra Funda,"""Avenida Doutor Adolpho Pinto, 56 - Barra Funda""",60.0,43,41,40,44,50,47,30,26,36,43,53,70.0,40.0,39.0,31.0,6.0,0.0,,,-23.5301565,-46.6660188
95,95,SmartFit Barra Garden,"""Av. das Américas, 3255, Loja 217 e 218 - Barra da Tijuca""",60.0,53,57,48,56,54,52,33,31,38,38,48,65.0,47.0,32.0,20.0,4.0,1.0,,,-23.001079,-43.3418563
96,96,SmartFit Barra Mansa,"""Avenida Joaquim Leite, 640 - Centro""",57.0,57,57,51,63,60,49,39,43,45,41,56,66.0,52.0,37.0,9.0,1.0,,,,-22.5446146,-44.1737096
97,97,SmartFit Barreiro,"""Avenida Afonso Vaz de Melo, 640 - Barreiro""",56.0,43,54,44,55,51,38,29,31,39,42,66,80.0,66.0,49.0,33.0,6.0,1.0,,,-19.9749688,-44.0200643
98,98,SmartFit Barretos,"""Via Conselheiro Antonio Prado, 1400 - Aeroporto""",36.0,32,31,34,38,38,27,24,25,33,38,47,51.0,49.0,37.0,23.0,5.0,0.0,,,-20.5738916,-48.5584224
